Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,381.329987,382.959991,377.410004,378.470001,371.954468,2659500
2022-06-07,375.160004,382.609985,374.709991,382.170013,375.590790,2649900
2022-06-08,380.500000,382.230011,377.260010,377.989990,371.482727,3436400
2022-06-09,376.239990,378.440002,369.019989,369.100006,362.745789,3022000
2022-06-10,362.929993,363.690002,358.230011,358.269989,352.102234,7629700
2022-06-13,349.109985,350.839996,343.059998,344.459991,338.529968,10399700
2022-06-14,346.369995,347.320007,340.570007,343.600006,337.684784,7584200
2022-06-15,346.820007,352.839996,341.970001,348.519989,342.520050,7887600
2022-06-16,340.480011,340.839996,334.570007,337.070007,331.267181,8821900
2022-06-17,337.309998,340.869995,334.239990,337.950012,332.132050,7084000
2022-06-21,343.190002,347.500000,343.109985,346.230011,340.269501,5628300
2022-06-22,342.079987,349.510010,341.630005,345.500000,339.552063,4876100
2022-06-23,347.630005,349.609985,344.140015,349.130005,343.119568,6708800
2022-06-24,352.029999,360.019989,351.970001,360.000000,353.802490,5458600
2022-06-27,361.000000,361.149994,357.570007,358.649994,352.475677,4608600
2022-06-28,360.079987,362.839996,350.899994,350.899994,344.859100,8797800
2022-06-29,350.429993,351.359985,347.809998,349.640015,345.028839,3775900
2022-06-30,345.880005,349.839996,342.450012,346.880005,342.305267,7159600
2022-07-01,346.160004,350.829987,343.589996,350.440002,345.818298,7481500
2022-07-05,345.480011,351.100006,342.779999,351.059998,346.430115,6180600
2022-07-06,351.230011,354.679993,348.929993,352.329987,347.683380,5450900
2022-07-07,354.010010,358.299988,354.000000,357.500000,352.785156,3737500
2022-07-08,355.910004,359.049988,354.470001,357.290009,352.577942,4791300
2022-07-11,354.839996,355.570007,352.510010,353.250000,348.591248,3491700
2022-07-12,352.600006,354.899994,348.380005,349.989990,345.374237,4080300
2022-07-13,344.739990,351.000000,344.369995,348.359985,343.765747,5603500
2022-07-14,343.410004,347.950012,341.049988,347.440002,342.857849,4624800
2022-07-15,351.730011,354.109985,349.799988,354.010010,349.341217,4520500
2022-07-18,356.970001,357.619995,349.920013,351.079987,346.449860,3544900
